state_fips,state_abbr,state_name,year,month,date,temp_f,pcpn_in
01,AL,Alabama,1895,1,1895-01-01,43.1,7.52
01,AL,Alabama,1895,2,1895-02-01,37.4,2.66
01,AL,Alabama,1895,3,1895-03-01,54.5,7.62
01,AL,Alabama,1895,4,1895-04-01,63.4,3.58
01,AL,Alabama,1895,5,1895-05-01,69.5,3.78
01,AL,Alabama,1895,6,1895-06-01,77.5,5.79
01,AL,Alabama,1895,7,1895-07-01,79.2,4.51
01,AL,Alabama,1895,8,1895-08-01,79.5,5.13
01,AL,Alabama,1895,9,1895-09-01,77.8,1.6
01,AL,Alabama,1895,10,1895-10-01,59.7,2.22
01,AL,Alabama,1895,11,1895-11-01,53.2,1.76
01,AL,Alabama,1895,12,1895-12-01,44.9,4.23
01,AL,Alabama,1896,1,1896-01-01,43.5,4.33
01,AL,Alabama,1896,2,1896-02-01,47.7,6.16
01,AL,Alabama,1896,3,1896-03-01,52.5,5.44
01,AL,Alabama,1896,4,1896-04-01,68,3.54
01,AL,Alabama,1896,5,1896-05-01,75.9,3.24
01,AL,Alabama,1896,6,1896-06-01,77.4,5.44
01,AL,Alabama,1896,7,1896-07-01,81.2,4.99
01,AL,Alabama,1896,8,1896-08-01,82.2,2.82
01,AL,Alabama,1896,9,1896-09-01,75.9,1.8
01,AL,Alabama,1896,10,1896-10-01,63.2,2.27
01,AL,Alabama,1896,11,1896-11-01,57.3,4.42
01,AL,Alabama,1896,12,1896-12-01,46.4,1.71
01,AL,Alabama,1897,1,1897-01-01,41.8,3.73
01,AL,Alabama,1897,2,1897-02-01,51.1,6.32
01,AL,Alabama,1897,3,1897-03-01,60.2,10.66
01,AL,Alabama,1897,4,1897-04-01,62.4,4.1
01,AL,Alabama,1897,5,1897-05-01,69,1.6
01,AL,Alabama,1897,6,1897-06-01,81.2,1.97
01,AL,Alabama,1897,7,1897-07-01,81.5,4.72
01,AL,Alabama,1897,8,1897-08-01,78.8,6.07
01,AL,Alabama,1897,9,1897-09-01,75.6,0.75
01,AL,Alabama,1897,10,1897-10-01,67.1,1.26
01,AL,Alabama,1897,11,1897-11-01,54.2,1.8
01,AL,Alabama,1897,12,1897-12-01,47.4,5.38
01,AL,Alabama,1898,1,1898-01-01,49,3.92
01,AL,Alabama,1898,2,1898-02-01,46.1,2.11
01,AL,Alabama,1898,3,1898-03-01,59.2,3.12
01,AL,Alabama,1898,4,1898-04-01,58.8,4.49
01,AL,Alabama,1898,5,1898-05-01,74.1,0.95
01,AL,Alabama,1898,6,1898-06-01,80.4,3.86
01,AL,Alabama,1898,7,1898-07-01,80,6.05
01,AL,Alabama,1898,8,1898-08-01,78.8,7.2
01,AL,Alabama,1898,9,1898-09-01,75.2,3.46
01,AL,Alabama,1898,10,1898-10-01,61,3.84
01,AL,Alabama,1898,11,1898-11-01,49.8,5.99
01,AL,Alabama,1898,12,1898-12-01,43.4,3.85
01,AL,Alabama,1899,1,1899-01-01,43.8,6.18
01,AL,Alabama,1899,2,1899-02-01,40,6.4
01,AL,Alabama,1899,3,1899-03-01,55.6,6.31
01,AL,Alabama,1899,4,1899-04-01,61.7,2.45
01,AL,Alabama,1899,5,1899-05-01,76.1,2.03
01,AL,Alabama,1899,6,1899-06-01,79.9,2.91
01,AL,Alabama,1899,7,1899-07-01,80.4,6.73
01,AL,Alabama,1899,8,1899-08-01,80.9,3.86
01,AL,Alabama,1899,9,1899-09-01,72.8,0.53
01,AL,Alabama,1899,10,1899-10-01,66,2.64
01,AL,Alabama,1899,11,1899-11-01,55.3,2.97
01,AL,Alabama,1899,12,1899-12-01,44.7,5.38
01,AL,Alabama,1900,1,1900-01-01,43.6,3.37
01,AL,Alabama,1900,2,1900-02-01,44.4,8.75
01,AL,Alabama,1900,3,1900-03-01,52.9,5.96
01,AL,Alabama,1900,4,1900-04-01,64.2,8.69
01,AL,Alabama,1900,5,1900-05-01,71.4,2.56
01,AL,Alabama,1900,6,1900-06-01,76.3,10.38
01,AL,Alabama,1900,7,1900-07-01,79.8,4.74
01,AL,Alabama,1900,8,1900-08-01,81.2,3.12
01,AL,Alabama,1900,9,1900-09-01,77.6,4.06
01,AL,Alabama,1900,10,1900-10-01,68.2,5.79
01,AL,Alabama,1900,11,1900-11-01,54.7,3.33
01,AL,Alabama,1900,12,1900-12-01,46.6,5.1
01,AL,Alabama,1901,1,1901-01-01,46,4.97
01,AL,Alabama,1901,2,1901-02-01,43.1,4.45
01,AL,Alabama,1901,3,1901-03-01,53.3,6.34
01,AL,Alabama,1901,4,1901-04-01,58.1,5.19
01,AL,Alabama,1901,5,1901-05-01,70.6,5.3
01,AL,Alabama,1901,6,1901-06-01,78.8,3.25
01,AL,Alabama,1901,7,1901-07-01,82.4,3.49
01,AL,Alabama,1901,8,1901-08-01,78.7,9.12
01,AL,Alabama,1901,9,1901-09-01,72.4,4.49
01,AL,Alabama,1901,10,1901-10-01,62.5,1.22
01,AL,Alabama,1901,11,1901-11-01,48.7,1.78
01,AL,Alabama,1901,12,1901-12-01,42.1,7.49
01,AL,Alabama,1902,1,1902-01-01,43.2,3.7
01,AL,Alabama,1902,2,1902-02-01,40.8,6.93
01,AL,Alabama,1902,3,1902-03-01,55.1,9.37
01,AL,Alabama,1902,4,1902-04-01,62.1,2.36
01,AL,Alabama,1902,5,1902-05-01,75.7,2.52
01,AL,Alabama,1902,6,1902-06-01,81.2,1.35
01,AL,Alabama,1902,7,1902-07-01,83.1,2.87
01,AL,Alabama,1902,8,1902-08-01,82.3,3.77
01,AL,Alabama,1902,9,1902-09-01,73.6,4.22
01,AL,Alabama,1902,10,1902-10-01,63.1,3.63
01,AL,Alabama,1902,11,1902-11-01,57.6,4.11
01,AL,Alabama,1902,12,1902-12-01,45.2,5.51
01,AL,Alabama,1903,1,1903-01-01,43.4,3.62
01,AL,Alabama,1903,2,1903-02-01,48.2,10.61
01,AL,Alabama,1903,3,1903-03-01,59.5,5.62
01,AL,Alabama,1903,4,1903-04-01,61.1,2.73
01,AL,Alabama,1903,5,1903-05-01,69.8,6.25
01,AL,Alabama,1903,6,1903-06-01,73.6,4.75
01,AL,Alabama,1903,7,1903-07-01,80.4,4.39
01,AL,Alabama,1903,8,1903-08-01,80.6,4.57
01,AL,Alabama,1903,9,1903-09-01,73.2,1.58
01,AL,Alabama,1903,10,1903-10-01,63.2,1.95
01,AL,Alabama,1903,11,1903-11-01,50.6,2.12
01,AL,Alabama,1903,12,1903-12-01,40.1,3.23
01,AL,Alabama,1904,1,1904-01-01,41.1,4.24
01,AL,Alabama,1904,2,1904-02-01,48.9,4.13
01,AL,Alabama,1904,3,1904-03-01,58.1,3.78
01,AL,Alabama,1904,4,1904-04-01,60,2.32
01,AL,Alabama,1904,5,1904-05-01,70.2,3.05
01,AL,Alabama,1904,6,1904-06-01,78.1,3.22
01,AL,Alabama,1904,7,1904-07-01,78.6,5.01
01,AL,Alabama,1904,8,1904-08-01,78.6,5.81
01,AL,Alabama,1904,9,1904-09-01,77,1.23
01,AL,Alabama,1904,10,1904-10-01,64.6,0.26
01,AL,Alabama,1904,11,1904-11-01,52.1,3.06
01,AL,Alabama,1904,12,1904-12-01,45.9,4.49
01,AL,Alabama,1905,1,1905-01-01,38.6,5.62
01,AL,Alabama,1905,2,1905-02-01,39.1,7.54
01,AL,Alabama,1905,3,1905-03-01,59.1,3.67
01,AL,Alabama,1905,4,1905-04-01,63.7,3.84
01,AL,Alabama,1905,5,1905-05-01,74.5,5.34
01,AL,Alabama,1905,6,1905-06-01,79.4,5.01
01,AL,Alabama,1905,7,1905-07-01,79.8,4.48
01,AL,Alabama,1905,8,1905-08-01,79.4,5.58
01,AL,Alabama,1905,9,1905-09-01,76.2,2.29
01,AL,Alabama,1905,10,1905-10-01,63.7,4.25
01,AL,Alabama,1905,11,1905-11-01,55.4,1.68
01,AL,Alabama,1905,12,1905-12-01,42.7,6.31
01,AL,Alabama,1906,1,1906-01-01,46.2,4.82
01,AL,Alabama,1906,2,1906-02-01,45.1,2.45
01,AL,Alabama,1906,3,1906-03-01,50.9,8.66
01,AL,Alabama,1906,4,1906-04-01,64.9,1.08
01,AL,Alabama,1906,5,1906-05-01,69.9,5.06
01,AL,Alabama,1906,6,1906-06-01,79.1,3.74
01,AL,Alabama,1906,7,1906-07-01,79.2,7.79
01,AL,Alabama,1906,8,1906-08-01,80.5,3.76
01,AL,Alabama,1906,9,1906-09-01,78.3,8.92
01,AL,Alabama,1906,10,1906-10-01,60.6,3.52
01,AL,Alabama,1906,11,1906-11-01,55,2.32
01,AL,Alabama,1906,12,1906-12-01,49.6,4.05
01,AL,Alabama,1907,1,1907-01-01,53.6,2.21
01,AL,Alabama,1907,2,1907-02-01,48.3,4.51
01,AL,Alabama,1907,3,1907-03-01,64.3,3.18
01,AL,Alabama,1907,4,1907-04-01,58.1,6.66
01,AL,Alabama,1907,5,1907-05-01,68.3,8.21
01,AL,Alabama,1907,6,1907-06-01,75.6,3.13
01,AL,Alabama,1907,7,1907-07-01,81.2,5.23
01,AL,Alabama,1907,8,1907-08-01,80.5,3.76
01,AL,Alabama,1907,9,1907-09-01,75.2,5.98
01,AL,Alabama,1907,10,1907-10-01,63.3,1.42
01,AL,Alabama,1907,11,1907-11-01,51,6.36
01,AL,Alabama,1907,12,1907-12-01,45.3,6.58
01,AL,Alabama,1908,1,1908-01-01,43.4,4.19
01,AL,Alabama,1908,2,1908-02-01,44,6.87
01,AL,Alabama,1908,3,1908-03-01,62.2,4.7
01,AL,Alabama,1908,4,1908-04-01,67.4,6.3
01,AL,Alabama,1908,5,1908-05-01,71.8,5.5
01,AL,Alabama,1908,6,1908-06-01,78,3.34
01,AL,Alabama,1908,7,1908-07-01,80.3,5.29
01,AL,Alabama,1908,8,1908-08-01,79.7,3.64
01,AL,Alabama,1908,9,1908-09-01,74.5,2.23
01,AL,Alabama,1908,10,1908-10-01,60.3,1.72
01,AL,Alabama,1908,11,1908-11-01,56.8,1.66
01,AL,Alabama,1908,12,1908-12-01,50.1,4.37
01,AL,Alabama,1909,1,1909-01-01,49.6,2.05
