state_abbr,year,month,date,recall_count,class_I,class_II,class_III
AK,2012,5,2012-05-01,1,0,1,0
AK,2013,7,2013-07-01,1,0,1,0
AK,2013,9,2013-09-01,12,0,12,0
AK,2014,1,2014-01-01,11,11,0,0
AK,2014,4,2014-04-01,2,0,2,0
AK,2014,10,2014-10-01,2,0,2,0
AK,2015,8,2015-08-01,1,0,1,0
AK,2015,9,2015-09-01,1,1,0,0
AK,2016,12,2016-12-01,2,0,2,0
AK,2017,2,2017-02-01,2,2,0,0
AK,2017,5,2017-05-01,17,0,17,0
AK,2018,6,2018-06-01,2,2,0,0
AK,2019,2,2019-02-01,1,0,1,0
AK,2020,8,2020-08-01,3,3,0,0
AL,2012,10,2012-10-01,1,1,0,0
AL,2013,2,2013-02-01,1,0,1,0
AL,2013,6,2013-06-01,3,3,0,0
AL,2013,11,2013-11-01,1,0,1,0
AL,2014,11,2014-11-01,1,0,0,1
AL,2014,12,2014-12-01,2,0,2,0
AL,2015,4,2015-04-01,3,0,3,0
AL,2015,8,2015-08-01,3,0,3,0
AL,2016,8,2016-08-01,3,1,2,0
AL,2016,11,2016-11-01,1,0,1,0
AL,2016,12,2016-12-01,2,2,0,0
AL,2017,1,2017-01-01,1,1,0,0
AL,2017,12,2017-12-01,1,0,1,0
AL,2018,5,2018-05-01,2,2,0,0
AL,2018,7,2018-07-01,1,0,1,0
AL,2018,9,2018-09-01,1,1,0,0
AL,2019,9,2019-09-01,1,1,0,0
AL,2020,5,2020-05-01,1,0,1,0
AL,2021,6,2021-06-01,1,0,1,0
AL,2021,7,2021-07-01,1,0,0,1
AL,2022,2,2022-02-01,5,0,5,0
AL,2022,6,2022-06-01,1,1,0,0
AL,2023,11,2023-11-01,3,0,3,0
AL,2024,2,2024-02-01,3,1,2,0
AL,2024,5,2024-05-01,4,4,0,0
AL,2024,8,2024-08-01,1,0,0,1
AL,2025,5,2025-05-01,1,1,0,0
AL,2025,7,2025-07-01,1,0,1,0
AR,2012,7,2012-07-01,15,0,15,0
AR,2013,11,2013-11-01,1,0,1,0
AR,2014,2,2014-02-01,1,1,0,0
AR,2014,12,2014-12-01,8,8,0,0
AR,2015,9,2015-09-01,1,1,0,0
AR,2016,7,2016-07-01,1,0,1,0
AR,2018,4,2018-04-01,1,1,0,0
AR,2018,10,2018-10-01,4,0,4,0
AR,2020,2,2020-02-01,4,0,4,0
AR,2021,5,2021-05-01,1,1,0,0
AR,2021,9,2021-09-01,1,0,1,0
AR,2022,2,2022-02-01,1,0,1,0
AR,2022,3,2022-03-01,3,0,3,0
AR,2022,6,2022-06-01,1,1,0,0
AR,2023,10,2023-10-01,1,1,0,0
AR,2023,12,2023-12-01,1,0,0,1
AR,2024,5,2024-05-01,4,0,4,0
AR,2024,9,2024-09-01,2,0,0,2
AR,2024,10,2024-10-01,1,0,1,0
AR,2024,11,2024-11-01,1,1,0,0
AR,2025,3,2025-03-01,1,0,1,0
AR,2025,5,2025-05-01,1,1,0,0
AR,2025,9,2025-09-01,10,10,0,0
AZ,2012,2,2012-02-01,1,0,1,0
AZ,2012,4,2012-04-01,1,0,1,0
